(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*

(твое -> твок) | yaSucced: твое | spellerFail: твой
(зари -> заои) | yaSucced: зари | spellerFail: зао
(апрель -> арркль) | yaSucced: апрель | spellerFail: ариэль
(лана -> ланв) | yaSucced: лана | spellerFail: ланч
(лана -> ланв) | yaSucced: лана | spellerFail: ланч
(мишель -> мтщель) | yaSucced: мишель | spellerFail: модель
(дети рядом -> детт рчдос) | yaSucced: дети рядом | spellerFail: дет радос
(дорофея -> лопофея) | yaSucced: дорофея | spellerFail: домофея
(шалуны -> щалунф) | yaSucced: шалуны | spellerFail: шалун
(шалуны -> шплуеы) | yaSucced: шалуны | spellerFail: шпулек
(шалуны -> шалугф) | yaSucced: шалуны | spellerFail: шалун
(ладошки -> лпдршки) | yaSucced: ладошки | spellerFail: ладушки
(ладошки -> лажлшки) | yaSucced: ладошки | spellerFail: ладушки
(мечты данаи -> меятф дпгаи) | yaSucced: мечты данаи | spellerFail: места дуга
(елена -> еоега) | yaSucced: елена | spellerFail: омега
(глория трикотаж -> глрпия триеоьаж) | yaSucced: глория трикотаж | spellerFail: гарпия трикотаж
(красная ветка -> крамнпя ыеткв) | yaSucced: красная ветка | spellerFail: красная щетка
(красная ветка -> крвсеая ыеька) | yaSucced: красная ветка | spellerFail: красная щетка
(энджи -> жнджт) | yaSucced: энджи | spellerFail: индет
(энджи -> жнджт) | yaSucced: энджи | spellerFail: индет
(кавказский барс -> кавеазсктй барм) | yaSucced: кавказский барс | spellerFail: кавказский барм
(кавказский барс -> уавказсеий барм) | yaSucced: кавказский барс | spellerFail: кавказский барм
(страна детства -> стоага дктстыа) | yaSucced: страна детства | spellerFail: стога детства
(ив-каприз -> ив-каприз) | yaSucced: ив-каприз | spellerFail: ивкаприз
(белый слон -> юелыф слое) | yaSucced: белый слон | spellerFail: белый слое
(дика -> дикв) | yaSucced: дика | spellerFail: дик
(дика -> дикв) | yaSucced: дика | spellerFail: дик
