(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*

(очки -> очуи) | yaSucced: очки | spellerFail: очуи
(очки -> очуи) | yaSucced: очки | spellerFail: очуи
(очки -> ояки) | yaSucced: очки | spellerFail: ояки
(органайзер для хранения -> оргпеайзер лля ъранкния) | yaSucced: органайзер для хранения | spellerFail: оргонайзер для франкония
(точилка для карандашей -> ьочмлка длч уарандвшей) | yaSucced: точилка для карандашей | spellerFail: точилка длч карандешей
(машина -> машиеп) | yaSucced: машина | spellerFail: машин
(подставка -> подстаакв) | yaSucced: подставка | spellerFail: подстаака
(дед мороз -> дкд ирроз) | yaSucced: дед мороз | spellerFail: дед цирроз
(дед мороз -> днд иорлз) | yaSucced: дед мороз | spellerFail: днд мороз
(качели -> кпяели) | yaSucced: качели | spellerFail: карели
(органайзер -> орнаеайзер) | yaSucced: органайзер | spellerFail: орнанайзер
(корзинка декоративная -> крпзинка декоратманая) | yaSucced: корзинка декоративная | spellerFail: резинка декоратиная
(корзинка декоративная -> уорзинкп декораьивеая) | yaSucced: корзинка декоративная | spellerFail: корзинка декораривная
(набор подарочный -> еабрр пожпрочный) | yaSucced: набор подарочный | spellerFail: набор подпрочный
(набор подарочный -> нпьор подарочнфц) | yaSucced: набор подарочный | spellerFail: нпбор подарочный
(набор подарочный -> набрп аодарочнвй) | yaSucced: набор подарочный | spellerFail: набр подарочный
(мочалка для тела -> моявлка лля ткла) | yaSucced: мочалка для тела | spellerFail: морилка для тула
(весы напольные -> вксы напооьнве) | yaSucced: весы напольные | spellerFail: весы напольный
(весы напольные -> вксы нааольнык) | yaSucced: весы напольные | spellerFail: весы напольный
(зарядные устройства -> зарядгын устройчтыа) | yaSucced: зарядные устройства | spellerFail: зарядный устройста
(куклы -> кцкоы) | yaSucced: куклы | spellerFail: кокос
(шарф кашне -> щарф еашнн) | yaSucced: шарф кашне | spellerFail: щарф машин
(кавказская история -> каыуазская истлоия) | yaSucced: кавказская история | spellerFail: качмарская история
(кавказская история -> кавквхская исьлрия) | yaSucced: кавказская история | spellerFail: каневская история
(кавказская история -> каауазская тстооия) | yaSucced: кавказская история | spellerFail: качмарская история
(игрушки -> тгрушеи) | yaSucced: игрушки | spellerFail: игрушеки
(органайзер для косметики -> оршагайзер длф еосмнтики) | yaSucced: органайзер для косметики | spellerFail: оргагайзер длф косметика
(органайзер для косметики -> оршанпйзер лля крсиетики) | yaSucced: органайзер для косметики | spellerFail: органайзер для косиетики
(органайзер для косметики -> лрганпйзер длф космкттки) | yaSucced: органайзер для косметики | spellerFail: органайзер длф космектики
