(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*

(женский -> денсктй) | yaSucced: женский | spellerFail: детский
(органайзер для хранения -> логанайзер длф хрпненич) | yaSucced: органайзер для хранения | spellerFail: оганайзер для хранения
(дорожный органайзер -> дородгый логанайзер) | yaSucced: дорожный органайзер | spellerFail: дородный оганайзер
(монетница -> моееьница) | yaSucced: монетница | spellerFail: мельница
(точилка для карандашей -> тосмлка доя еарандашец) | yaSucced: точилка для карандашей | spellerFail: точилка доя карандашей
(точилка для карандашей -> ьояилка жля каранжагей) | yaSucced: точилка для карандашей | spellerFail: поилка для карандашей
(чай листовой -> чац омстовой) | yaSucced: чай листовой | spellerFail: чай мостовой
(набор подарочный -> набрп аодарочнвй) | yaSucced: набор подарочный | spellerFail: набр подарочный
(мочалка для тела -> мряалка доя ьела) | yaSucced: мочалка для тела | spellerFail: мочалка доя тела
(зарядные устройства -> звряднын учтройствв) | yaSucced: зарядные устройства | spellerFail: зарядных устройств
(обложка для автодокументов -> рблржка доя ввтодокуиентов) | yaSucced: обложка для автодокументов | spellerFail: обложка доя автодокументов
(обложка для автодокументов -> оьложкв лля автолокуиентов) | yaSucced: обложка для автодокументов | spellerFail: обложки для автодокументов
(обложка для автодокументов -> оюложкп лля ввтодокуменьов) | yaSucced: обложка для автодокументов | spellerFail: обложки для автодокументов
(обложка для автодокументов -> обложеп лля автодокумеетлв) | yaSucced: обложка для автодокументов | spellerFail: обложек для автодокументов
(фонофорез -> флнофлрез) | yaSucced: фонофорез | spellerFail: ионофорез
(фонофорез -> йонлфорез) | yaSucced: фонофорез | spellerFail: ионофорез
(фонофорез -> флнофопез) | yaSucced: фонофорез | spellerFail: ионофорез
(фонофорез -> фонофлрех) | yaSucced: фонофорез | spellerFail: ионофорез
(фонофорез -> флнрфорез) | yaSucced: фонофорез | spellerFail: фарфоре
(фильтр для раковин -> фтлььр доя ракоатн) | yaSucced: фильтр для раковин | spellerFail: фильтр доя раковин
(набор для девочек -> нпюор длч леыочек) | yaSucced: набор для девочек | spellerFail: упор для лесочек
(набор для девочек -> гаюор лля деыояек) | yaSucced: набор для девочек | spellerFail: hабор для девочек
(набор для девочек -> набро длч деврчкк) | yaSucced: набор для девочек | spellerFail: набро для девочек
(мягкая игрушка собака -> мягеач игругуа чобауа) | yaSucced: мягкая игрушка собака | spellerFail: мягка игрушка собака
(игрушка для ванной -> игркшкв доя аагной) | yaSucced: игрушка для ванной | spellerFail: игрушка доя ванной
(игрушки для животных -> игрущеи доя диыотных) | yaSucced: игрушки для животных | spellerFail: игрушки доя животных
(игрушки для животных -> инпушки жля жтвотеых) | yaSucced: игрушки для животных | spellerFail: ингушки для животных
(игрушки для животных -> мгрушкт длч жтвртных) | yaSucced: игрушки для животных | spellerFail: игрушке для животных
(коляска -> крояска) | yaSucced: коляска | spellerFail: краска
(ушки -> ушкм) | yaSucced: ушки | spellerFail: ушм
(парковка -> рапковка) | yaSucced: парковка | spellerFail: упаковка
(заглушки для розеток -> занлушеи ддя розетлу) | yaSucced: заглушки для розеток | spellerFail: заглушек для розетку
(губка для тела -> шцбка доя тнла) | yaSucced: губка для тела | spellerFail: шубка доя тела
(губка для тела -> шубуа доя ткла) | yaSucced: губка для тела | spellerFail: шубка доя тела
(скребок для чистки стеклокерамики -> скрнбрк доя чтськи стеклоеерамикм) | yaSucced: скребок для чистки стеклокерамики | spellerFail: скребок доя чистки стеклокерамики
(щипцы -> шипцв) | yaSucced: щипцы | spellerFail: шипов
(щипцы -> шипйы) | yaSucced: щипцы | spellerFail: шипы
(коврик для йоги -> клврие доя йрги) | yaSucced: коврик для йоги | spellerFail: коврик доя йоги
(лежанка для собак -> дежаека доя мобвк) | yaSucced: лежанка для собак | spellerFail: лежанка доя собак
(расческа для животных -> рачческв доя жиаотнвх) | yaSucced: расческа для животных | spellerFail: расческа доя животных
(расческа для животных -> расяечка доя живлтеых) | yaSucced: расческа для животных | spellerFail: расческа доя животных
(выпуск июль август -> аыпкск тюль аыгуси) | yaSucced: выпуск июль август | spellerFail: выпуск тюль гуси
(ободок для девочки -> оболлк ддя лквочки) | yaSucced: ободок для девочки | spellerFail: ободок для лавочки
(ободок для девочки -> лбодоу доя девоякм) | yaSucced: ободок для девочки | spellerFail: ободок доя девочки
(жидкое мыло -> жилеое сыло) | yaSucced: жидкое мыло | spellerFail: жилете мыло
(нет в продаже -> ннт в прлдажн) | yaSucced: нет в продаже | spellerFail: нет в продаж
(нет в продаже -> нкт в продвжк) | yaSucced: нет в продаже | spellerFail: нет в продаж
