(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*

(дед мороз -> дкд ирроз) | yaSucced: дед мороз | spellerFail: дед цирроз
(набор подарочный -> набрп аодарочнвй) | yaSucced: набор подарочный | spellerFail: набр подарочный
(ушки -> ушкм) | yaSucced: ушки | spellerFail: ушм
(парковка -> рапковка) | yaSucced: парковка | spellerFail: упаковка
(альбом -> алтьом) | yaSucced: альбом | spellerFail: альтом
(машинки -> иашинкм) | yaSucced: машинки | spellerFail: машинка
(набор кукол -> набло еуклл) | yaSucced: набор кукол | spellerFail: пабло кукла
(ткань подкладочная х -> теант подклажрчная х) | yaSucced: ткань подкладочная х | spellerFail: тент подкладочная х
(нитритная соль -> ниьритнвя срль) | yaSucced: нитритная соль | spellerFail: нитритов соль
(нитритная соль -> емтритная солб) | yaSucced: нитритная соль | spellerFail: матричная соль
(нитритная соль -> нитриинаф сооь) | yaSucced: нитритная соль | spellerFail: цитрина соль
(маятник -> маяинтк) | yaSucced: маятник | spellerFail: машинок
(электронная книга -> жлектронгая кемга) | yaSucced: электронная книга | spellerFail: электронная семга
(электронная книга -> элекьрлнная кемга) | yaSucced: электронная книга | spellerFail: электронная семга
(набор бокалов -> набро юлкалов) | yaSucced: набор бокалов | spellerFail: набро бокалов
(каша -> уаша) | yaSucced: каша | spellerFail: гуаша
(формочки -> формлчкм) | yaSucced: формочки | spellerFail: формочка
(вода питьевая -> вожа питьеаач) | yaSucced: вода питьевая | spellerFail: вожа питьевая
(подгузник -> подшцзник) | yaSucced: подгузник | spellerFail: подшипник
(комплект для новорожденных -> комплееь лля еоыорожденных) | yaSucced: комплект для новорожденных | spellerFail: комплекс для новорожденных
(кит -> еит) | yaSucced: кит | spellerFail: ит
(масло горчичное -> самло горчтчнок) | yaSucced: масло горчичное | spellerFail: само горчичное
(набор подставок под стаканы -> набро прдмтавок плд стаеанф) | yaSucced: набор подставок под стаканы | spellerFail: набро подставок под стаканы
(апельсиновые палочки для маникюра -> апелбсиеовые паорчки жля маниуюрв) | yaSucced: апельсиновые палочки для маникюра | spellerFail: апельсиновые парочки для маникюра
(ошибка -> оштька) | yaSucced: ошибка | spellerFail: штука
(мартини -> маотинм) | yaSucced: мартини | spellerFail: мартина
(вальгусная шина -> впльгцсная шмна) | yaSucced: вальгусная шина | spellerFail: впльгцсная шина
(стул -> стцл) | yaSucced: стул | spellerFail: стол
(щетки -> щеикт) | yaSucced: щетки | spellerFail: щетка
(в виде схем и таблиц -> в ыиде схкм и тпблиу) | yaSucced: в виде схем и таблиц | spellerFail: в виде схем и таблицу
(маска для лица -> масуп ддя лиуа) | yaSucced: маска для лица | spellerFail: масок для лица
