(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*

(очки -> очуи) | yaSucced: очки | spellerFail: очуи
(очки -> очуи) | yaSucced: очки | spellerFail: очуи
(очки -> ояки) | yaSucced: очки | spellerFail: ояки
(машина -> машиеп) | yaSucced: машина | spellerFail: машин
(подставка -> подстаакв) | yaSucced: подставка | spellerFail: подстаака
(дед мороз -> дкд ирроз) | yaSucced: дед мороз | spellerFail: дед цирроз
(дед мороз -> днд иорлз) | yaSucced: дед мороз | spellerFail: днд мороз
(органайзер -> орнаеайзер) | yaSucced: органайзер | spellerFail: орнанайзер
(набор подарочный -> еабрр пожпрочный) | yaSucced: набор подарочный | spellerFail: набор подпрочный
(набор подарочный -> нпьор подарочнфц) | yaSucced: набор подарочный | spellerFail: нпбор подарочный
(набор подарочный -> набрп аодарочнвй) | yaSucced: набор подарочный | spellerFail: набр подарочный
(кукла -> кцкоа) | yaSucced: кукла | spellerFail: кокоа
(шарф кашне -> щарф еашнн) | yaSucced: шарф кашне | spellerFail: щарф машин
(органайзер для косметика -> оршагайзер длф еосмнтика) | yaSucced: органайзер для косметика | spellerFail: оргагайзер длф косметика
(органайзер для косметика -> лрганпйзер длф космкттка) | yaSucced: органайзер для косметика | spellerFail: органайзер длф косметика
(парковка -> рапковка) | yaSucced: парковка | spellerFail: упаковка
(косметический набор для уход -> коммеьический нвьор ддя уъод) | yaSucced: косметический набор для уход | spellerFail: косметический нвбор для уход
(погремушка -> погркмцшка) | yaSucced: погремушка | spellerFail: погркмушка
(гель лак -> геоь лау) | yaSucced: гель лак | spellerFail: гель лау
(гель лак -> шель лау) | yaSucced: гель лак | spellerFail: гель лау
(гель лак -> гелт лвк) | yaSucced: гель лак | spellerFail: гелт лвк
(гель лак -> гедь оак) | yaSucced: гель лак | spellerFail: гедь лак
(конструктор -> крнсьруктор) | yaSucced: конструктор | spellerFail: крнструктор
(разветвитель авто -> развеивиьель авио) | yaSucced: разветвитель авто | spellerFail: разветвитель авио
(профиль -> роофиль) | yaSucced: профиль | spellerFail: рофиль
(новогодний набор -> ноаоглдний нвьор) | yaSucced: новогодний набор | spellerFail: новогодний нвбор
(салфетка для авто -> салфнткв ддя авио) | yaSucced: салфетка для авто | spellerFail: салфетка для авио
(салфетка для авто -> сплфеька длф пвто) | yaSucced: салфетка для авто | spellerFail: салфетка длф авто
(час электронный -> чпс жлектроннвй) | yaSucced: час электронный | spellerFail: чпс электронный
(гель -> гелт) | yaSucced: гель | spellerFail: гелт
(гель -> гедь) | yaSucced: гель | spellerFail: гедь
(нож с -> ноэ с) | yaSucced: нож с | spellerFail: ноэ с
